cmd,input_size,output_size,compress_time,decompress_time,ratio,compress_speed,decompress_speed,compress_anchor,decompress_anchor
gzip,1000000206,129778033,50.208392091999485,4.450829786999748,0.12977800626573072,19916993.24223821,224677252.07575023,west,north
gzip\_9,1000000206,123875937,272.819603936,4.315838947999509,0.12387591148156224,3665426.5000494146,231704708.6438485,south,south
pigz,1000000206,130033282,3.021146424000108,1.8442350559998886,0.13003325521314943,331000244.82625484,542230342.4645782,south,west
bzip2,1000000206,126926979,52.027805662999526,20.914291191000302,0.12692695285304773,19220495.526513573,47814204.97914428,south,north
bzip2\_9,1000000206,126926979,52.14837824299957,21.514278820999607,0.12692695285304773,19176055.70282985,46480768.1596058,east,east
xz,1000000206,109550648,56.41374361399994,7.0486186400003135,0.10955062543257116,17726180.571215175,141871798.86922574,south,south
fqzcomp\_q2,1000000206,150021653,14.20713404199978,16.802696847000334,0.15002162209554584,70387187.38372944,59514268.16216844,east,south
fqzcomp\_q3,1000000206,149654956,14.5626277450001,16.842107397999825,0.14965492517108542,68668939.6660117,59375004.705097675,south,east
genozip,1000000206,117588787,3.8732373120001284,1.5234637740004473,0.11758876277671487,258182012.98995614,656399071.0288503,south,south
spring,1000000206,104540160,21.357235796999703,6.950824374999684,0.10454013846473148,46822548.36276526,143867856.8252626,west,south
dsrc2,1000000206,167029993,2.3799687580003592,2.671127110999805,0.16702995859182854,420173669.3553055,374373874.56477094,south,south
idencomp,1000000206,228140376,3.6316216469999745,3.708145351999974,0.22814032900309222,275359137.928392,269676647.2383974,east,east
idencomp\_fast,1000000206,228140376,2.725102336999953,3.723982359999809,0.22814032900309222,366958771.5743892,268529791.31728524,west,west
