cmd,input_size,output_size,compress_time,decompress_time,ratio,compress_speed,decompress_speed,compress_anchor,decompress_anchor
gzip,1000000002,304213738,126.550396611,5.856197626000039,0.30421373739157254,7901990.26458901,170759264.94697726,south,east
gzip\_9,1000000002,293672255,506.3116371430003,5.827652940000007,0.2936722544126555,1975068.1766723143,171595668.49566007,south,east
pigz,1000000002,304581186,7.246399221000047,3.6010686939998777,0.3045811853908376,137999573.512594,277695341.84843683,west,west
bzip2,1000000002,249427488,57.457168707000164,34.17610627900012,0.24942748750114502,17404268.684025276,29260208.691897146,west,west
bzip2\_9,1000000002,249427488,57.54789594199974,34.1665199400004,0.24942748750114502,17376829.954093553,29268418.432901375,east,east
xz,1000000002,250406916,99.20802035999986,13.082455682000273,0.25040691549918614,10079830.223113641,76438248.77433887,north,south
fqzcomp\_q2,1000000002,200510435,24.302809874000104,28.892544987999827,0.20051043459897913,41147505.460668184,34611004.41014587,west,west
fqzcomp\_q3,1000000002,199270247,24.887970872000096,29.891493404999892,0.1992702466014595,40180053.53441801,33454333.92875352,east,east
genozip,1000000002,217780409,5.995333952000237,4.304377574999762,0.21778040856443917,166796380.31945956,232321627.12864596,east,west
spring,1000000002,151644160,28.34510326999998,7.601171612000144,0.1516441596967117,35279462.29281812,131558666.61677222,south,south
dsrc2,1000000002,213902559,4.059894934000113,4.872431370999948,0.2139025585721949,246311793.34848577,205236344.2103802,west,east
idencomp,1000000002,274414787,28.187681682000175,12.410518070999842,0.2744147864511704,35476489.81145444,80576813.65750076,north,east
idencomp\_fast,1000000002,274412734,6.468434787000206,11.479121473000077,0.2744127334511745,154596905.57748654,87114680.71420707,west,west
