cmd,input_size,output_size,compress_time,decompress_time,ratio,compress_speed,decompress_speed,compress_anchor,decompress_anchor
gzip,10000016,2535122,1.1259606410001197,0.05585999000004449,0.253511794381129,8881319.324907856,179019294.48952705,west,east
gzip\_9,10000016,2428334,4.927520318999996,0.05362293500002124,0.24283301146718164,2029421.5655369293,186487666.1450187,south,east
pigz,10000016,2539883,0.06986644700009492,0.030676362999884077,0.2539878936193702,143130450.01395896,325984406.9532555,south,south
bzip2,10000016,2035188,0.5447680409999975,0.28975815400008287,0.20351847437044102,18356465.958692398,34511594.79707736,west,west
bzip2\_9,10000016,2035188,0.5356466179998733,0.28906324899980973,0.20351847437044102,18669054.678886004,34594560.30678802,east,east
xz,10000016,1944616,5.777220574000012,0.11498220599992237,0.1944612888619378,1730938.9302192116,86970117.79376325,south,south
fqzcomp\_q2,10000016,1670899,0.251683931000116,0.2813496320000013,0.16708963265658774,39732437.26869234,35543021.43178191,south,west
fqzcomp\_q3,10000016,1695490,0.36111938599992754,0.39796257600005447,0.16954872872203405,27691717.442170236,25128031.134260803,east,east
genozip,10000016,1753137,0.6468796330000259,0.2913561210000353,0.1753134194985288,15458851.214132443,34322313.070604034,north,west
spring,10000016,1617920,1.271412446999875,0.399764168000047,0.16179174113321418,7865280.872148786,25014788.218835123,south,south
dsrc2,10000016,1762452,0.3469471179998891,0.435682942999847,0.1762449180081312,28822882.45438948,22952507.461380035,west,east
idencomp,10000016,2457053,6.739899707000177,5.5376159560000815,0.245704906872149,1483703.9770211729,1805834.1494709195,north,south
idencomp\_fast,10000016,2456731,3.489303608,3.485715965000054,0.2456727069236689,2865905.958161036,2868855.667073793,west,west
